,filebasename,structtype,event,freq
50,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc006_predict.tif,WT,Fusion,0.04054054054054054
51,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.9121621621621622
52,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.033783783783783786
53,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.05405405405405406
54,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,None,0.9680851063829787
55,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.010638297872340425
56,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.02127659574468085
57,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc010_predict.tif,WT,None,1.0
58,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc010_predict.tif,WT,Fission,0.0
59,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc010_predict.tif,WT,Fusion,0.0
60,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc011_predict.tif,WT,None,1.0
61,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc011_predict.tif,WT,Fission,0.0
62,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc011_predict.tif,WT,Fusion,0.0
63,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc012_predict.tif,WT,None,1.0
64,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc012_predict.tif,WT,Fission,0.0
65,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc012_predict.tif,WT,Fusion,0.0
66,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc013_predict.tif,WT,None,0.9693877551020408
67,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc013_predict.tif,WT,Fission,0.01020408163265306
68,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc013_predict.tif,WT,Fusion,0.02040816326530612
69,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc014_predict.tif,WT,None,0.953125
70,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc014_predict.tif,WT,Fission,0.015625
71,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc014_predict.tif,WT,Fusion,0.03125
72,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif,WT,None,0.945273631840796
73,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif,WT,Fission,0.014925373134328358
74,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif,WT,Fusion,0.03980099502487562
75,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc017_predict.tif,WT,None,1.0
76,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc017_predict.tif,WT,Fission,0.0
77,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc017_predict.tif,WT,Fusion,0.0
78,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.6585365853658537
79,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.0975609756097561
80,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.24390243902439024
81,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,None,1.0
82,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,Fission,0.0
83,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,Fusion,0.0
84,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.8992805755395683
85,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.02877697841726619
86,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.07194244604316546
87,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif,WT,None,0.8869565217391304
88,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif,WT,Fission,0.043478260869565216
89,20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif,WT,Fusion,0.06956521739130435
90,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.8944099378881988
91,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.031055900621118012
92,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.07453416149068323
93,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.84375
94,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif,WT,Fission,0.07291666666666667
95,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif,WT,Fusion,0.08333333333333333
96,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif,WT,None,0.8367346938775511
97,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.05442176870748299
98,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.10884353741496598
99,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif,WT,None,0.5641025641025641
100,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif,WT,Fission,0.1794871794871795
101,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif,WT,Fusion,0.2564102564102564
102,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif,WT,None,0.8157894736842105
103,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif,WT,Fission,0.05263157894736842
104,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif,WT,Fusion,0.13157894736842105
105,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.96875
106,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.03125
107,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.0
108,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif,WT,None,0.7166666666666667
109,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif,WT,Fission,0.08333333333333333
110,20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif,WT,Fusion,0.2
111,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.8524590163934426
112,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.06557377049180328
113,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.08196721311475409
114,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.9504950495049505
115,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.019801980198019802
116,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.0297029702970297
117,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.9533333333333334
118,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.02
