"timestamp","mNID","mMID","mHasAgg","mAggList","c1ID","c1MID","c1HasAgg","c1AggList","c2ID","c2MID","c2HasAgg","c2AggList","fpos2c1","fpos2c2","m_fpos2periph","m_agg2fpos","m_agg2periph","m_c1_agg2fpos","m_c2_agg2fpos","m_len","m_c1_len","m_c2_len","fileID","negneg","posneg","pospos","Type","fisRatio","fisRatio2"
24,84,85,TRUE,"[46]",88,89,TRUE,"[48]",86,87,FALSE,"[]",0.506359556046887,0.08,7.70978838432643,6.25655941457692,1.2657773097089,5.85705627484772,NA,9.92702842869347,7.48165609449569,2.17037712935688,"20210329_Tom70GFPMTSFlcMch_002y002",FALSE,TRUE,FALSE,"DUMP+/-",0.776646147405175,0.44797390876004
37,136,137,TRUE,"[72]",140,141,TRUE,"[74]",139,140,FALSE,"[]",0.24,0.512640224719052,6.54391918985787,0.433137084989848,6.97705627484771,0.226274169979695,NA,8.95429631921475,2.23096587438734,7.66242860904548,"20210329_Tom70GFPMTSFlcMch_002y002",FALSE,TRUE,FALSE,"DUMP+/-",0.730813338823228,0.0620802051649356
5,10,11,TRUE,"[4]",11,12,TRUE,"[5]",13,14,FALSE,"[]",0,0.524976189936267,4.76870277902517,0.64,5.08919963929597,0.64,NA,9.15113138807065,4.44870277902517,4.68870277902518,"20210329_Tom70GFPMTSFlcMch_003y002",FALSE,TRUE,FALSE,"DUMP+/-",0.521105268496267,0.118327818360052
7,15,16,TRUE,"[6]",16,17,TRUE,"[7]",18,19,FALSE,"[]",0.178885438199983,0.113137084989848,4.20919963929597,0.96,5.16919963929597,0.786274169979695,NA,9.1842684730605,4.96134300374422,4.48183986401502,"20210329_Tom70GFPMTSFlcMch_003y002",FALSE,TRUE,FALSE,"DUMP+/-",0.458305378554916,0.185715404122165
14,13,14,TRUE,"[41,40,39]",15,16,TRUE,"[44,43,42]",14,15,FALSE,"[]",0.113137084989848,0.54881690936049,3.78410295937719,0.386274169979695,1.43195959492893,0.386274169979695,NA,10.9764118375088,8.37934906396857,1.79782878939749,"20210329_Tom70GFPMTSFlcMch_003y003",FALSE,TRUE,FALSE,"DUMP+/-",0.344748631464984,0.0926233187067335
23,28,29,TRUE,"[68,67,66]",30,31,TRUE,"[71,70,69]",29,30,FALSE,"[]",0.512640224719052,0.178885438199983,4.23046901411655,0.818914394698747,1.36568542494924,0.339411254969543,NA,11.0444457438874,8.48680072400918,1.84469170440765,"20210329_Tom70GFPMTSFlcMch_003y003",FALSE,TRUE,FALSE,"DUMP+/-",0.383040408927531,0.162181068141721
3,7,8,TRUE,"[9,8]",10,11,TRUE,"[13,12]",9,10,FALSE,"[]",0.16,0.08,5.12124462029209,1.84568542494924,2.12577081101643,1.76568542494924,NA,9.44308448430711,5.00066237395411,4.24183986401502,"20210329_Tom70GFPMTSFlcMch_003y004",FALSE,TRUE,FALSE,"DUMP+/-",0.542327523258187,0.264920906764366
2,6,7,TRUE,"[3]",9,10,TRUE,"[5]",10,11,FALSE,"[]",0.5,0.08,4.16161215933074,1.5,1.81724004436704,1.00635955604689,NA,6.61885220369777,3.96847507434089,2.49037712935688,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.628751335013306,0.264942203348898
12,49,50,TRUE,"[23]",53,54,TRUE,"[25]",52,53,FALSE,"[]",0.113137084989848,0.506359556046887,2.21674318409624,0.113137084989848,2.32988026908609,0.16,NA,6.50571511870793,4.36152677326355,1.91096587438734,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.340737819539891,0.0485591841310482
12,50,51,TRUE,"[22]",51,52,TRUE,"[24]",55,56,FALSE,"[]",0.08,0.524976189936267,9.85189090523549,0.113137084989848,9.8913086588975,0.113137084989848,NA,11.2697261933255,1.4915546194178,9.55013766752906,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.874190795431243,0.0113534136683633
15,62,63,TRUE,"[29]",66,67,TRUE,"[31]",65,66,FALSE,"[]",1,0.506359556046887,1.59146273465814,0.586359556046886,2.13724004436704,0.113137084989848,NA,9.58118892798359,7.29072641255951,1.54459981964798,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.166102844502939,0.269241231733864
20,82,83,TRUE,"[39]",85,86,TRUE,"[41]",86,87,FALSE,"[]",0.5,0.512640224719052,0.866274169979695,0.7057773097089,0.912640224719052,0.24,NA,4.48789282800291,3.58897843330416,2.37724004436704,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.193024700717995,0.448953052001011
24,100,101,TRUE,"[46]",105,106,TRUE,"[48]",103,104,FALSE,"[]",0.08,1,3.3515546194178,6.89347986950001,9.29866843417845,7.014062115838,NA,10.6833666372786,8.37190390262043,3.22360609910639,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.313717083126481,0.672860582066051
31,133,134,TRUE,"[60]",137,138,TRUE,"[62]",134,135,FALSE,"[]",1.01271911209377,0.08,3.07782878939749,7.52620548028625,10.5571713546736,6.72719920082785,NA,11.9750066427636,8.15876031893811,3.3973319291267,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.257021050694566,0.709749260411501
32,136,137,TRUE,"[63]",142,143,TRUE,"[65]",139,140,FALSE,"[]",0.524976189936267,0.5,2.40419484413685,0.306274169979695,0.912640224719052,0.113137084989848,NA,4.68102991299275,3.55574296486218,1.84419484413685,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.513603819848218,0.112996742772034
32,137,138,TRUE,"[62]",138,139,TRUE,"[64]",143,144,FALSE,"[]",0.54881690936049,0.5,7.07348636819248,0.193137084989848,7.14092503084815,0.08,NA,8.57248614895842,1.07264022471905,7.23348636819248,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.825138267391885,0.0265786559925939
34,148,149,TRUE,"[67]",152,153,TRUE,"[69]",150,151,FALSE,"[]",0.524976189936267,0.5,2.84428023020404,0.273137084989848,1.49271911209377,0.08,NA,4.9279782140701,3.60260587987233,1.891057759147,"20210329_Tom70GFPMTSFlcMch_003y012",FALSE,TRUE,FALSE,"DUMP+/-",0.577169806084614,0.0876164649688101
5,10,11,TRUE,"[4]",11,12,TRUE,"[5]",13,14,FALSE,"[]",0.08,0.16,4.33606255430612,0.753137084989847,5.08919963929597,0.72,NA,9.15113138807065,4.81506883376453,4.65556569403533,"20210329_Tom70GFPMTSFlcMch_003y014",FALSE,TRUE,FALSE,"DUMP+/-",0.473828029609386,0.147987333641727
7,15,16,TRUE,"[6]",16,17,TRUE,"[7]",18,19,FALSE,"[]",0.178885438199983,0.113137084989848,4.20919963929597,0.96,5.16919963929597,0.786274169979695,NA,9.1842684730605,4.96134300374422,4.48183986401502,"20210329_Tom70GFPMTSFlcMch_003y014",FALSE,TRUE,FALSE,"DUMP+/-",0.458305378554916,0.185715404122165
6,13,12,TRUE,"[16,17,15]",16,15,TRUE,"[19,20,18]",15,14,FALSE,"[]",0.178885438199983,0.4,4.97583484962184,1.10627416997969,1.07264022471905,1.04,NA,10.1503214370484,6.22193174877468,1.87782878939749,"20210329_Tom70GFPMTSFlcMch_004y008",FALSE,TRUE,FALSE,"DUMP+/-",0.490214510001643,0.181889894839828
5,12,13,TRUE,"[4]",15,16,TRUE,"[5]",13,14,FALSE,"[]",0,0.524976189936267,3.87497694900487,2.07096587438734,1.69087398962768,2.05724004436704,NA,5.60653156842267,4.00752528896426,1.33899978076594,"20210329_Tom70GFPMTSFlcMch_005y002",FALSE,TRUE,FALSE,"DUMP+/-",0.691154040910011,0.348298989058532
4,11,12,TRUE,"[3]",16,16,TRUE,"[4]",13,13,FALSE,"[]",0.178885438199983,0.08,5.74007362892365,3.68802214923506,1.10627416997969,3.54174797925536,NA,8.35731367329068,5.99330259867316,2.71096587438734,"20210329_Tom70GFPMTSFlcMch_005y009",FALSE,TRUE,FALSE,"DUMP+/-",0.686832378598936,0.391173598148928
