"post_nAgg","gt","N","mean","sd","q1","q3","upperWhisker","lowerWhisker","se","var","ci"
1,"DUMP",1000,0.18318599363347,0.00807344437781047,0.177808094588449,0.188267394270123,0.203956343792633,0.162119145065939,0.000255304727965621,6.51805041215996e-05,0.000500995052910334
2,"DUMP",1000,0.357437623762376,0.0107280213403037,0.35049504950495,0.364356435643564,0.385148514851485,0.32970297029703,0.00033924982222252,0.000115090441878012,0.000665723991829404
3,"DUMP",1000,0.454009230769231,0.0111848560687558,0.446153846153846,0.461153846153846,0.483653846153846,0.423653846153846,0.000353696204784251,0.000125101005278783,0.000694072727293683
4,"DUMP",1000,0.556199163179916,0.0101267671693871,0.549372384937239,0.563179916317992,0.583891213389121,0.528661087866109,0.000320236495894793,0.000102551413302976,0.000628413353262444
5,"DUMP",1000,0.659473208305425,0.00878184162758841,0.653382451440054,0.665522438044206,0.683732417950435,0.635172471533825,0.000277706215940595,7.71207423720446e-05,0.000544954421554709
6,"DUMP",1000,0.726755304740406,0.00956025250539812,0.720541760722348,0.733182844243792,0.752144469525959,0.701580135440181,0.000302321729233892,9.1398427966971e-05,0.000593258463877227
