"iteration","pAggInherited","class"
1,0.506976744186047,"dump"
2,0.576744186046512,"dump"
3,0.525581395348837,"dump"
4,0.544186046511628,"dump"
5,0.53953488372093,"dump"
6,0.497674418604651,"dump"
7,0.516279069767442,"dump"
8,0.548837209302326,"dump"
9,0.53953488372093,"dump"
10,0.497674418604651,"dump"
11,0.506976744186047,"dump"
12,0.553488372093023,"dump"
13,0.483720930232558,"dump"
14,0.506976744186047,"dump"
15,0.511627906976744,"dump"
16,0.553488372093023,"dump"
17,0.534883720930233,"dump"
18,0.474418604651163,"dump"
19,0.534883720930233,"dump"
20,0.511627906976744,"dump"
21,0.46046511627907,"dump"
22,0.52093023255814,"dump"
23,0.506976744186047,"dump"
24,0.488372093023256,"dump"
25,0.483720930232558,"dump"
26,0.483720930232558,"dump"
27,0.567441860465116,"dump"
28,0.53953488372093,"dump"
29,0.576744186046512,"dump"
30,0.483720930232558,"dump"
31,0.548837209302326,"dump"
32,0.525581395348837,"dump"
33,0.437209302325581,"dump"
34,0.534883720930233,"dump"
35,0.497674418604651,"dump"
36,0.52093023255814,"dump"
37,0.544186046511628,"dump"
38,0.511627906976744,"dump"
39,0.516279069767442,"dump"
40,0.553488372093023,"dump"
41,0.474418604651163,"dump"
42,0.483720930232558,"dump"
43,0.544186046511628,"dump"
44,0.586046511627907,"dump"
45,0.47906976744186,"dump"
46,0.53953488372093,"dump"
47,0.488372093023256,"dump"
48,0.47906976744186,"dump"
49,0.525581395348837,"dump"
50,0.530232558139535,"dump"
51,0.46046511627907,"dump"
52,0.46046511627907,"dump"
53,0.572093023255814,"dump"
54,0.544186046511628,"dump"
55,0.53953488372093,"dump"
56,0.483720930232558,"dump"
57,0.506976744186047,"dump"
58,0.502325581395349,"dump"
59,0.451162790697674,"dump"
60,0.511627906976744,"dump"
61,0.451162790697674,"dump"
62,0.53953488372093,"dump"
63,0.525581395348837,"dump"
64,0.493023255813954,"dump"
65,0.506976744186047,"dump"
66,0.530232558139535,"dump"
67,0.502325581395349,"dump"
68,0.474418604651163,"dump"
69,0.52093023255814,"dump"
70,0.516279069767442,"dump"
71,0.506976744186047,"dump"
72,0.534883720930233,"dump"
73,0.530232558139535,"dump"
74,0.562790697674419,"dump"
75,0.511627906976744,"dump"
76,0.506976744186047,"dump"
77,0.544186046511628,"dump"
78,0.516279069767442,"dump"
79,0.497674418604651,"dump"
80,0.52093023255814,"dump"
81,0.493023255813954,"dump"
82,0.562790697674419,"dump"
83,0.52093023255814,"dump"
84,0.506976744186047,"dump"
85,0.52093023255814,"dump"
86,0.516279069767442,"dump"
87,0.465116279069767,"dump"
88,0.525581395348837,"dump"
89,0.562790697674419,"dump"
90,0.497674418604651,"dump"
91,0.511627906976744,"dump"
92,0.52093023255814,"dump"
93,0.525581395348837,"dump"
94,0.544186046511628,"dump"
95,0.506976744186047,"dump"
96,0.497674418604651,"dump"
97,0.497674418604651,"dump"
98,0.52093023255814,"dump"
99,0.52093023255814,"dump"
100,0.469767441860465,"dump"
101,0.52093023255814,"dump"
102,0.493023255813954,"dump"
103,0.590697674418605,"dump"
104,0.441860465116279,"dump"
105,0.474418604651163,"dump"
106,0.530232558139535,"dump"
107,0.558139534883721,"dump"
108,0.506976744186047,"dump"
109,0.469767441860465,"dump"
110,0.511627906976744,"dump"
111,0.525581395348837,"dump"
112,0.46046511627907,"dump"
113,0.525581395348837,"dump"
114,0.511627906976744,"dump"
115,0.553488372093023,"dump"
116,0.52093023255814,"dump"
117,0.488372093023256,"dump"
118,0.53953488372093,"dump"
119,0.483720930232558,"dump"
120,0.534883720930233,"dump"
121,0.506976744186047,"dump"
122,0.534883720930233,"dump"
123,0.53953488372093,"dump"
124,0.502325581395349,"dump"
125,0.469767441860465,"dump"
126,0.553488372093023,"dump"
127,0.511627906976744,"dump"
128,0.525581395348837,"dump"
129,0.525581395348837,"dump"
130,0.497674418604651,"dump"
131,0.497674418604651,"dump"
132,0.516279069767442,"dump"
