"timestamp","mNID","mMID","mHasAgg","mAggList","c1ID","c1MID","c1HasAgg","c1AggList","c2ID","c2MID","c2HasAgg","c2AggList","fpos2c1","fpos2c2","m_fpos2periph","m_agg2fpos","m_agg2periph","m_c1_agg2fpos","m_c2_agg2fpos","m_len","m_c1_len","m_c2_len","fileID","negneg","posneg","pospos","Type","fisRatio","fisRatio2","aggBias"
28,88,89,TRUE,"[194,192,195,193]",91,92,TRUE,"[201]",92,93,TRUE,"[199,202,200]",1.01587400793602,0,2.1973319291267,0.852051479688595,0.16,0.193137084989848,2.84401107461753,10.7213247479082,1.45841753442795,8.69017510400154,"20210329_Tom70GFPMTSFlcMch_000y005",FALSE,FALSE,TRUE,"DUMP+/+",0.204949666276587,0.27941762824099,0.298298662812069
35,107,108,TRUE,"[245,243,246,244]",110,111,TRUE,"[252]",111,112,TRUE,"[250,253,251]",0.512640224719052,0.08,1.79782878939749,0.386274169979695,0.113137084989848,0.193137084989848,2.66459981964799,10.4823184684498,1.4915546194178,8.51880425410307,"20210329_Tom70GFPMTSFlcMch_000y005",FALSE,FALSE,TRUE,"DUMP+/+",0.171510605674564,0.176857124945174,0.20455077321952
35,138,139,TRUE,"[228,229,225,226]",140,141,TRUE,"[232]",142,143,TRUE,"[234,235,231]",0.5,0.54881690936049,5.4567301867113,0.965685424949238,4.25104476176206,1.28568542494924,0.912640224719052,8.8398394255469,2.56469170440765,5.93506883376453,"20210329_Tom70GFPMTSFlcMch_000y011",FALSE,FALSE,TRUE,"DUMP+/+",0.617288383196362,0.150361714865656,0.549925170357576
23,64,65,TRUE,"[45,44]",66,67,TRUE,"[46]",67,68,TRUE,"[47]",1.01271911209377,0.08,6.30193174877468,1.07313708498985,4.55665129933658,1.45891439469875,0.946274169979695,9.70594282339221,6.46143488850389,3.43714815960738,"20210329_Tom70GFPMTSFlcMch_001y003",FALSE,FALSE,TRUE,"DUMP+/+",0.649285892513858,0.14550875512874,0.70660341415108
38,108,109,TRUE,"[75,74]",110,111,TRUE,"[76]",111,112,TRUE,"[77]",0.288444102037119,0.512640224719052,5.85556569403533,1.05941125496954,4.57606255430612,0.965685424949238,0.96,10.2985830481113,5.72252049380514,3.93037712935689,"20210329_Tom70GFPMTSFlcMch_001y003",FALSE,FALSE,TRUE,"DUMP+/+",0.5685797421529,0.153205319812672,0.459932315958098
39,123,124,TRUE,"[236,238,237]",126,127,TRUE,"[242,243]",127,128,TRUE,"[244]",0.16,0.554616984954482,5.62879466378484,0.946274169979695,1.59195959492893,0.866274169979695,1.27195959492893,9.65004578276939,5.48252049380514,4.14761717372392,"20210329_Tom70GFPMTSFlcMch_001y006",FALSE,FALSE,TRUE,"DUMP+/+",0.583292016483001,0.143918519167488,0.359736368973715
23,22,23,TRUE,"[44,45]",24,25,TRUE,"[46]",23,24,TRUE,"[47]",0,0.178885438199983,5.80202363353435,1.73271911209377,2.64518856467844,1.73271911209377,2.33941125496954,11.8367728778549,6.03524610459138,6.20847507434089,"20210329_Tom70GFPMTSFlcMch_004y001",FALSE,FALSE,TRUE,"DUMP+/+",0.49016938091202,0.229963937799887,0.407601192625171
24,68,67,TRUE,"[70,69]",72,71,TRUE,"[73]",71,70,TRUE,"[72]",1,0,3.53005104122047,1.0257773097089,1.05891439469875,0.992640224719052,0.906359556046886,6.90846857564842,2.82360609910639,3.29841753442795,"20210329_Tom70GFPMTSFlcMch_004y008",FALSE,FALSE,TRUE,"DUMP+/+",0.510974465985632,0.225157146120232,0.687354389586253
27,78,77,TRUE,"[79,78]",81,80,TRUE,"[81]",82,81,TRUE,"[82]",0.08,1.00319489631876,3.36997215384575,0.673137084989847,1.15264022471905,1.15264022471905,0.672640224719052,6.44847507434089,3.2515546194178,2.48988026908609,"20210329_Tom70GFPMTSFlcMch_004y008",FALSE,FALSE,TRUE,"DUMP+/+",0.522599857329866,0.166489957413,0.423809755347363
30,89,88,TRUE,"[88,87]",92,91,TRUE,"[90]",93,92,TRUE,"[91]",0.506359556046887,0.5,3.3831092388356,1.01899978076594,0.833137084989847,0.586359556046886,1.63782878939749,6.36102991299275,2.6115546194178,3.08301735407594,"20210329_Tom70GFPMTSFlcMch_004y008",FALSE,FALSE,TRUE,"DUMP+/+",0.531849289361996,0.231479905706237,0.338245754408829
7,18,19,TRUE,"[13,12]",21,22,TRUE,"[14]",22,23,TRUE,"[15]",0.524976189936267,0.08,3.21841753442795,0.08,2.17891439469875,3.1720514796886,0.16,7.42761717372392,5.05556569403533,3.31782878939749,"20210329_Tom70GFPMTSFlcMch_005y001",FALSE,FALSE,TRUE,"DUMP+/+",0.433304175370466,0.0242540549111756,0.939040306510503
10,20,21,TRUE,"[19,18]",24,25,TRUE,"[20]",23,24,TRUE,"[21]",0.25298221281347,0,4.0888865485445,2.15046901411655,1.1057773097089,4.35782878939749,2.07046901411655,10.9171843520585,6.8088865485445,4.23516071852419,"20210329_Tom70GFPMTSFlcMch_005y010",FALSE,FALSE,TRUE,"DUMP+/+",0.37453673187936,0.344662039616057,0.690108929867212
21,51,52,TRUE,"[41,40]",54,55,TRUE,"[42]",55,56,TRUE,"[43]",0.24,0.16,7.39298950792169,0.833137084989847,1.3457773097089,0.626274169979695,5.32202363353435,10.7297326920179,3.11046901411655,7.33240076289122,"20210329_Tom70GFPMTSFlcMch_005y010",FALSE,FALSE,TRUE,"DUMP+/+",0.689018983056445,0.101279390194136,0.136457708316736
