"timestamp","N","deltaNAggs_v2","sd","se","ci","gt"
120,22,0,0,0,0,"y218"
130,22,-0.363636363636364,0.726731400270092,0.154939655135699,0.322214651917533,"y218"
140,22,-0.590909090909091,0.734139659030241,0.156519101210311,0.325499289841296,"y218"
150,22,-0.727272727272727,0.767296936488468,0.163588256516807,0.340200403087214,"y218"
160,22,-1,0.925820099772551,0.197385508487931,0.410485636200114,"y218"
170,22,-0.909090909090909,0.921132372943677,0.196386081769935,0.408407214560579,"y218"
180,22,-1.09090909090909,1.01929438287525,0.217314292606253,0.451929811561167,"y218"
190,22,-1.22727272727273,0.922306538331671,0.196636414671776,0.408927810329038,"y218"
200,22,-1.31818181818182,0.893700900022652,0.190537672092483,0.396244780825711,"y218"
210,22,-1.31818181818182,0.893700900022652,0.190537672092483,0.396244780825711,"y218"
120,30,0,0,0,0,"y246"
130,30,0.0333333333333333,0.718395402284138,0.262320911359347,0.268253251831701,"y246"
140,30,0.0666666666666667,0.520830459762188,0.190180394298358,0.194481289885744,"y246"
150,30,-0.0333333333333333,0.764890496257058,0.279298519214208,0.285614805250334,"y246"
160,30,0.1,0.661763578993857,0.241641893300192,0.24710658147931,"y246"
170,30,0.1,0.884736469627909,0.323060081241793,0.330366027172757,"y246"
180,30,0,0.742781352708207,0.271225401448324,0.277359115370727,"y246"
190,30,0.0333333333333333,0.764890496257058,0.279298519214208,0.285614805250334,"y246"
200,30,0.0666666666666667,0.691491807283521,0.2524971074528,0.258207284357616,"y246"
210,30,0.233333333333333,0.773854362727667,0.282571660459819,0.28896196799954,"y246"
120,26,0,0,0,0,"y297"
130,26,-0.115384615384615,0.431455497304005,0.169230769230769,0.174268646771433,"y297"
140,26,-0.192307692307692,0.49146562599887,0.192768678248333,0.198507262307869,"y297"
150,26,-0.0769230769230769,0.392232270276368,0.153846153846154,0.158426042519484,"y297"
160,26,-0.0769230769230769,0.560219737108712,0.21973625933978,0.226277648774037,"y297"
170,26,-0.230769230769231,0.42966892442366,0.168530017693897,0.173547034368388,"y297"
180,26,-0.346153846153846,0.485164524037584,0.190297182720815,0.195962192146929,"y297"
190,26,-0.346153846153846,0.485164524037584,0.190297182720815,0.195962192146929,"y297"
200,26,-0.423076923076923,0.643308754678618,0.252326453336257,0.259838029262764,"y297"
210,26,-0.576923076923077,0.643308754678618,0.252326453336257,0.259838029262764,"y297"
