"class","N","pAggInherited","sd","se","ci","lower_sd_bound","upper_sd_bound"
0,1000,0.513641860465116,0.032756574727644,0.00103585384484865,0.002032698947421,0.480885285737472,0.54639843519276
20,1000,0.451590697674419,0.0321486916284223,0.00101663089340202,0.00199497695279192,0.419442006045996,0.483739389302841
40,1000,0.408176744186046,0.0310180288856758,0.000980876198076302,0.00192481403172407,0.377158715300371,0.439194773071722
50,1000,0.363404651162791,0.0295811851042057,0.000935439208163353,0.00183565114254879,0.333823466058585,0.392985836266996
60,1000,0.320302325581395,0.0296609441021101,0.000937961409136059,0.00184060056209084,0.290641381479285,0.349963269683505
80,1000,0.274683720930233,0.0286019534997047,0.000904473185892911,0.00177488523316112,0.246081767430528,0.303285674429937
100,1000,0.194520930232558,0.0291991268481613,0.000923357465283631,0.00181194263757316,0.165321803384397,0.223720057080719
