"X","mitoType","freq","placeholder"
152,"DUMP+",70.5084745762712,"X"
153,"DUMP-",29.4915254237288,"X"
154,"DUMP+",72.8813559322034,"X"
155,"DUMP-",27.1186440677966,"X"
156,"DUMP+",72.2033898305085,"X"
157,"DUMP-",27.7966101694915,"X"
158,"DUMP+",70.5084745762712,"X"
159,"DUMP-",29.4915254237288,"X"
160,"DUMP+",72.5423728813559,"X"
161,"DUMP-",27.4576271186441,"X"
162,"DUMP+",71.5254237288136,"X"
163,"DUMP-",28.4745762711864,"X"
164,"DUMP+",67.7966101694915,"X"
165,"DUMP-",32.2033898305085,"X"
166,"DUMP+",71.5254237288136,"X"
167,"DUMP-",28.4745762711864,"X"
168,"DUMP+",65.4237288135593,"X"
169,"DUMP-",34.5762711864407,"X"
170,"DUMP+",69.1525423728814,"X"
171,"DUMP-",30.8474576271186,"X"
172,"DUMP+",70.1694915254237,"X"
173,"DUMP-",29.8305084745763,"X"
174,"DUMP+",68.4745762711864,"X"
175,"DUMP-",31.5254237288136,"X"
176,"DUMP+",71.864406779661,"X"
177,"DUMP-",28.135593220339,"X"
178,"DUMP+",66.7796610169491,"X"
179,"DUMP-",33.2203389830508,"X"
180,"DUMP+",66.7796610169491,"X"
181,"DUMP-",33.2203389830508,"X"
182,"DUMP+",67.1186440677966,"X"
183,"DUMP-",32.8813559322034,"X"
184,"DUMP+",71.1864406779661,"X"
185,"DUMP-",28.8135593220339,"X"
186,"DUMP+",76.271186440678,"X"
187,"DUMP-",23.728813559322,"X"
188,"DUMP+",68.135593220339,"X"
189,"DUMP-",31.864406779661,"X"
190,"DUMP+",66.7796610169491,"X"
191,"DUMP-",33.2203389830508,"X"
192,"DUMP+",68.4745762711864,"X"
193,"DUMP-",31.5254237288136,"X"
194,"DUMP+",69.8305084745763,"X"
195,"DUMP-",30.1694915254237,"X"
196,"DUMP+",77.2881355932203,"X"
197,"DUMP-",22.7118644067797,"X"
198,"DUMP+",70.5084745762712,"X"
199,"DUMP-",29.4915254237288,"X"
200,"DUMP+",74.9152542372881,"X"
201,"DUMP-",25.0847457627119,"X"
202,"DUMP+",72.5423728813559,"X"
203,"DUMP-",27.4576271186441,"X"
204,"DUMP+",70.8474576271186,"X"
205,"DUMP-",29.1525423728814,"X"
206,"DUMP+",75.593220338983,"X"
207,"DUMP-",24.406779661017,"X"
208,"DUMP+",70.8474576271186,"X"
209,"DUMP-",29.1525423728814,"X"
210,"DUMP+",68.8135593220339,"X"
211,"DUMP-",31.1864406779661,"X"
212,"DUMP+",71.864406779661,"X"
213,"DUMP-",28.135593220339,"X"
214,"DUMP+",66.4406779661017,"X"
215,"DUMP-",33.5593220338983,"X"
216,"DUMP+",70.8474576271186,"X"
217,"DUMP-",29.1525423728814,"X"
218,"DUMP+",71.1864406779661,"X"
219,"DUMP-",28.8135593220339,"X"
220,"DUMP+",73.2203389830509,"X"
221,"DUMP-",26.7796610169492,"X"
222,"DUMP+",71.864406779661,"X"
223,"DUMP-",28.135593220339,"X"
224,"DUMP+",72.8813559322034,"X"
225,"DUMP-",27.1186440677966,"X"
226,"DUMP+",69.8305084745763,"X"
227,"DUMP-",30.1694915254237,"X"
228,"DUMP+",70.5084745762712,"X"
229,"DUMP-",29.4915254237288,"X"
230,"DUMP+",68.4745762711864,"X"
231,"DUMP-",31.5254237288136,"X"
232,"DUMP+",74.5762711864407,"X"
233,"DUMP-",25.4237288135593,"X"
234,"DUMP+",70.5084745762712,"X"
235,"DUMP-",29.4915254237288,"X"
236,"DUMP+",71.1864406779661,"X"
237,"DUMP-",28.8135593220339,"X"
238,"DUMP+",72.5423728813559,"X"
239,"DUMP-",27.4576271186441,"X"
240,"DUMP+",68.135593220339,"X"
241,"DUMP-",31.864406779661,"X"
242,"DUMP+",72.2033898305085,"X"
243,"DUMP-",27.7966101694915,"X"
244,"DUMP+",73.8983050847458,"X"
245,"DUMP-",26.1016949152542,"X"
246,"DUMP+",71.5254237288136,"X"
247,"DUMP-",28.4745762711864,"X"
248,"DUMP+",71.864406779661,"X"
249,"DUMP-",28.135593220339,"X"
250,"DUMP+",74.2372881355932,"X"
251,"DUMP-",25.7627118644068,"X"
252,"DUMP+",69.1525423728814,"X"
253,"DUMP-",30.8474576271186,"X"
254,"DUMP+",71.1864406779661,"X"
255,"DUMP-",28.8135593220339,"X"
256,"DUMP+",73.2203389830509,"X"
257,"DUMP-",26.7796610169492,"X"
258,"DUMP+",71.864406779661,"X"
259,"DUMP-",28.135593220339,"X"
260,"DUMP+",74.5762711864407,"X"
261,"DUMP-",25.4237288135593,"X"
262,"DUMP+",67.4576271186441,"X"
263,"DUMP-",32.5423728813559,"X"
264,"DUMP+",65.7627118644068,"X"
265,"DUMP-",34.2372881355932,"X"
266,"DUMP+",80.3389830508475,"X"
267,"DUMP-",19.6610169491525,"X"
268,"DUMP+",68.8135593220339,"X"
269,"DUMP-",31.1864406779661,"X"
270,"DUMP+",68.135593220339,"X"
271,"DUMP-",31.864406779661,"X"
272,"DUMP+",72.2033898305085,"X"
273,"DUMP-",27.7966101694915,"X"
274,"DUMP+",73.2203389830509,"X"
275,"DUMP-",26.7796610169492,"X"
276,"DUMP+",72.5423728813559,"X"
277,"DUMP-",27.4576271186441,"X"
278,"DUMP+",71.1864406779661,"X"
279,"DUMP-",28.8135593220339,"X"
280,"DUMP+",71.1864406779661,"X"
281,"DUMP-",28.8135593220339,"X"
282,"DUMP+",71.1864406779661,"X"
283,"DUMP-",28.8135593220339,"X"
284,"DUMP+",65.4237288135593,"X"
285,"DUMP-",34.5762711864407,"X"
286,"DUMP+",65.7627118644068,"X"
287,"DUMP-",34.2372881355932,"X"
288,"DUMP+",69.8305084745763,"X"
289,"DUMP-",30.1694915254237,"X"
290,"DUMP+",71.5254237288136,"X"
291,"DUMP-",28.4745762711864,"X"
292,"DUMP+",69.4915254237288,"X"
293,"DUMP-",30.5084745762712,"X"
294,"DUMP+",71.5254237288136,"X"
295,"DUMP-",28.4745762711864,"X"
296,"DUMP+",70.8474576271186,"X"
297,"DUMP-",29.1525423728814,"X"
298,"DUMP+",68.4745762711864,"X"
299,"DUMP-",31.5254237288136,"X"
300,"DUMP+",66.4406779661017,"X"
301,"DUMP-",33.5593220338983,"X"
302,"DUMP+",72.8813559322034,"X"
303,"DUMP-",27.1186440677966,"X"
304,"DUMP+",68.135593220339,"X"
305,"DUMP-",31.864406779661,"X"
306,"DUMP+",75.593220338983,"X"
307,"DUMP-",24.406779661017,"X"
308,"DUMP+",66.7796610169491,"X"
309,"DUMP-",33.2203389830508,"X"
310,"DUMP+",72.5423728813559,"X"
311,"DUMP-",27.4576271186441,"X"
312,"DUMP+",68.4745762711864,"X"
313,"DUMP-",31.5254237288136,"X"
314,"DUMP+",69.1525423728814,"X"
315,"DUMP-",30.8474576271186,"X"
316,"DUMP+",71.5254237288136,"X"
317,"DUMP-",28.4745762711864,"X"
318,"DUMP+",69.1525423728814,"X"
319,"DUMP-",30.8474576271186,"X"
320,"DUMP+",72.8813559322034,"X"
321,"DUMP-",27.1186440677966,"X"
322,"DUMP+",69.1525423728814,"X"
323,"DUMP-",30.8474576271186,"X"
324,"DUMP+",70.1694915254237,"X"
325,"DUMP-",29.8305084745763,"X"
326,"DUMP+",71.5254237288136,"X"
327,"DUMP-",28.4745762711864,"X"
328,"DUMP+",74.5762711864407,"X"
329,"DUMP-",25.4237288135593,"X"
330,"DUMP+",68.8135593220339,"X"
331,"DUMP-",31.1864406779661,"X"
332,"DUMP+",72.2033898305085,"X"
333,"DUMP-",27.7966101694915,"X"
334,"DUMP+",73.2203389830509,"X"
335,"DUMP-",26.7796610169492,"X"
336,"DUMP+",68.8135593220339,"X"
337,"DUMP-",31.1864406779661,"X"
338,"DUMP+",72.5423728813559,"X"
339,"DUMP-",27.4576271186441,"X"
340,"DUMP+",72.5423728813559,"X"
341,"DUMP-",27.4576271186441,"X"
342,"DUMP+",70.5084745762712,"X"
343,"DUMP-",29.4915254237288,"X"
