"filebasename","normalized_bias","placeholder"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif",0.487366637287742,"x"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc013_predict.tif",0.829791119561185,"x"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc014_predict.tif",0.316892560369532,"x"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif",0.755781486022601,"x"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif",0.0821742243051479,"x"
"20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc015_predict.tif",0.146561821729341,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0.583395887171213,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0.3463542764109,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0.492205260681044,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",1,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif",0.957677208309798,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif",0.609834270131062,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif",0.440665237329234,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif",0.62581995773384,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc005_predict.tif",0.52245168812281,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif",0.91080083909927,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif",0.876330825128864,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif",0.134768663421762,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif",1,"x"
"20220518_y200_d5mi10s_003_D3D_3DALIGN_predictc006_predict.tif",0,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif",0.224552641739917,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif",0.854346908739888,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif",0.819291926594178,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif",0.824082121763331,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif",0.100797299588872,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.378821289243339,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.670896287359158,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.392813916829555,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.270870835919665,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.211689869777614,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.19827777152653,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc002_predict.tif",0.125660505231518,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.232373233445008,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.318053558189274,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.742460106590297,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.631344450793693,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.743231293238693,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.247941488814465,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.780211311972202,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc003_predict.tif",0.897448682355321,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.737018116959263,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.186300132688888,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.763023398289392,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.0453519940376655,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.191464859502436,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc004_predict.tif",0.086857233362706,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif",0,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif",0.564359127667285,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif",0.703383791709167,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc006_predict.tif",0,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc007_predict.tif",0.503188418445406,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif",0.0267978756340159,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif",0.887057121866289,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif",0.714065071465793,"x"
"20220518_y200_d5mi10s_004_D3D_3DALIGN_predictc011_predict.tif",0.447591758616208,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif",0.67596545693997,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif",0.822759521639658,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif",0.193294992258709,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc001_predict.tif",0.983436082115506,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc005_predict.tif",0.141407848549797,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc005_predict.tif",0.332513044119582,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif",0.514946293007408,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif",0.557986375977015,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif",0.575372647947592,"x"
"20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc008_predict.tif",0.628048763584698,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc005_predict.tif",0.35439693720119,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc005_predict.tif",0.224352590452468,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc008_predict.tif",0.534757541089283,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif",0.0675986645419514,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif",0.378115514867481,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif",0.991028435047578,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc013_predict.tif",0.383682412034771,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc013_predict.tif",0.153988736322864,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc019_predict.tif",0.634701410165903,"x"
"20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc019_predict.tif",0.763611224823242,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc005_predict.tif",0.338084849895172,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc005_predict.tif",0.307356513046564,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",1,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.196742779683883,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.467711274473075,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.513117486161159,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.748029090966645,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.545233029661258,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif",0.883422313837538,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif",0.165719671300424,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif",0.0917833402639414,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif",0.800722730082465,"x"
"20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif",0.775343360122416,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif",0.498691231409789,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif",0.936629584666159,"x"
